profile_id,archetype,wallet_count,ilp_reachable,tx_success_rate,avg_connection_latency_ms,fee_to_volume_ratio,settlement_fulfillment_rate,cross_asset_success_rate,tx_frequency_monthly,tx_volume_monthly_usd,reserve_liquidity_usd,fallback_route_available
prof-ARC-221958,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9740739762106364,161.53710691204992,0.00023091414651979243,0.9978590088896261,0.9340826490053874,27,72.27274538543328,579.4415153162743,True
prof-ARC-249503,ARCHETYPE_A_HIGH_ACCESS,2,True,0.9868454792027619,115.81138031771282,0.0014786029001999696,0.9977831561027213,0.8715525408726088,24,187.38692523475882,402.09295072795,True
prof-ARC-704365,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9896476942053767,158.8663964887023,0.0018497543353113203,0.984015337672576,0.9340917270852048,21,556.0652024714582,130.92098020735335,True
prof-ARC-233767,ARCHETYPE_A_HIGH_ACCESS,2,True,0.9204932169939959,206.82996990326285,0.00014885378345667525,0.983488646574122,0.9118872967250348,25,482.0847913703715,723.266762523542,True
prof-ARC-723094,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9693711956262084,168.04084829954397,0.00022905797898195658,0.9046423492198586,0.873006327863502,16,188.83335203977325,545.0453482036986,True
prof-ARC-626981,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9791204708869767,169.67758376066044,0.00025196776450112204,0.9999815962998004,0.9720663940213405,25,189.93433177532762,234.11388026139247,True
prof-ARC-435674,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9305209812223131,187.72651172168293,0.006547174935560061,0.9981605495338607,0.9626370241510951,33,245.17412005313594,395.11344973300015,True
prof-ARC-335167,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9943831684361311,140.34369148099682,0.0033407026068938955,0.948383856410218,0.8209748503186964,22,254.8016509244337,687.1186389484119,True
prof-ARC-242483,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9503505882948436,198.61644647885205,0.0002981393205713036,0.9423222854911887,0.9880292975044223,32,268.35666338586117,170.03004069164007,True
prof-ARC-480002,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9291229237004364,207.62000147139213,0.0038333444855569864,0.9862364947165857,0.9535437778119475,20,93.01073366531782,678.8075795406262,True
prof-ARC-956703,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9814322986690694,153.3145671112343,0.007444009640878385,0.9781039795670656,0.9853751299446,22,240.5036273461851,212.1862657959661,True
prof-ARC-224123,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9105535591299764,198.18388089297255,0.001853170889355956,0.9891489886319774,0.9796261912726149,34,108.76098643200474,590.5578097702714,True
prof-ARC-118070,ARCHETYPE_A_HIGH_ACCESS,2,True,0.8790658302718476,206.1734147298136,0.0023087107776161245,0.9453021548839599,0.8998837472195672,27,1679.6920387521727,463.7648777950676,True
prof-ARC-548982,ARCHETYPE_A_HIGH_ACCESS,2,True,0.972565505885082,143.9960478680951,0.0003195680260391112,0.9987026182683608,0.9925259729363792,24,302.78195724687487,322.2369242388806,True
prof-ARC-311810,ARCHETYPE_A_HIGH_ACCESS,3,True,0.7954294115805417,119.24572240027179,0.0031372265418435357,0.8860265875467148,0.9657155828443522,19,561.5219500960367,1163.5983913795133,True
prof-ARC-276615,ARCHETYPE_A_HIGH_ACCESS,4,True,0.967313523957315,156.37194268923386,0.002401741544251674,0.9826361216052932,0.9510167151407235,19,180.9122379099722,613.6688369339836,True
prof-ARC-584963,ARCHETYPE_A_HIGH_ACCESS,2,True,0.9778571390600252,226.2920295557725,8.749593350383836e-05,0.9653920134182812,0.9518131023500784,26,181.25258603650292,129.22742162484704,True
prof-ARC-453824,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9012748230023572,193.17981420310304,0.004718900241248893,0.935649110584783,0.9619980549185503,28,374.2039795148702,501.30181616106705,True
prof-ARC-160692,ARCHETYPE_A_HIGH_ACCESS,4,True,0.9759607941336291,236.1127169344655,0.0024375056666051304,0.975183971446223,0.8311099514733606,23,375.753119023947,92.39234348851826,True
prof-ARC-219180,ARCHETYPE_A_HIGH_ACCESS,4,True,0.9994365696947346,189.72499057465328,0.006018653922593902,0.9845715240209711,0.927197334253523,17,341.5616028408325,422.20151971248623,True
prof-ARC-633636,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9321634413889613,182.70217760944985,0.0036220567880204087,0.9941622567798893,0.8890971024679826,32,117.81571565829324,451.1173053951378,True
prof-ARC-617923,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9401037902909759,118.88772195083584,0.004402270238120499,0.9979383103922079,0.920824437056074,23,161.80380616315773,328.34971938706065,True
prof-ARC-476965,ARCHETYPE_A_HIGH_ACCESS,4,True,0.9640397785758525,171.97798086349863,0.005171722161830575,0.9947590266092229,0.9631177969828821,15,524.7463372182556,335.32265851651647,True
prof-ARC-109337,ARCHETYPE_A_HIGH_ACCESS,2,True,0.9743711293840505,157.22602015338907,0.00723298439575447,0.9494437003757311,0.9258487593690499,34,512.0024000953823,818.6560828763921,True
prof-ARC-867214,ARCHETYPE_A_HIGH_ACCESS,2,True,0.9735652305829784,176.56380464242147,0.001014098371766301,0.9111369584232317,0.9505885608735826,37,109.99536887076346,618.297001430843,True
prof-ARC-994751,ARCHETYPE_A_HIGH_ACCESS,2,True,0.9985153872470983,75.65492359090331,0.0035926338464278406,0.9456219280413538,0.9531749701369551,27,250.83274555496294,469.0535698404897,True
prof-ARC-456600,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9722896858120147,209.44642130190243,0.005854338684683538,0.9796502196197681,0.9941783694503198,21,234.02781603644382,208.35614625382286,True
prof-ARC-994647,ARCHETYPE_A_HIGH_ACCESS,3,True,0.9680081730905666,182.28144119689156,0.0004989810815865852,0.9668766933405242,0.8660010804544643,22,211.96686203284153,393.4776937352072,True
prof-ARC-274293,ARCHETYPE_A_HIGH_ACCESS,2,True,0.862700235895161,176.6301585092751,0.003305774576750186,0.9759317443489687,0.957130076543829,12,81.7720069633971,570.169780973348,True
